state_name,sentiment
DC,Negative
IA,Positive
RI,Negative
CA,Negative
NY,Negative
IL,Negative
WV,Negative
TX,Negative
FL,Negative
SC,Negative
OR,Negative
MS,Negative
MD,Negative
VA,Negative
OK,Negative
AZ,Negative
NC,Negative
CT,Negative
GA,Negative
MO,Negative
UT,Negative
PA,Negative
SD,Negative
LA,Negative
OH,Negative
MT,Positive
CO,Negative
KS,Negative
MI,Negative
NV,Negative
TN,Negative
MN,Negative
NM,Negative
WA,Negative
AL,Negative
NJ,Negative
NH,Negative
IN,Negative
MA,Negative
NE,Neutral
ND,Positive
WI,Negative
HI,Negative
ME,Negative
KY,Negative
VT,Negative
AR,Negative
WY,Negative
ID,Negative
AK,Negative
DE,Negative
